"Gloria Jean's Coffees","Hudsons Coffee","Jamaica Blue","Kurtosh","Max Brenner","McCafe","Starbucks","The Coffee Club","Zarraffa's Coffee"
NA,"The Coffee Club, in terms",NA,NA,"San Churro, in",NA,"Gloria Jean's Coff","Michel's Patisserie","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks, as both are","Gloria Jean's Coff","The Coffee Club, as both","Oliver Brown, as both","San Churro, as","The Coffee Club, as both","Gloria Jean's Coff","Jamaica Blue, as","Merlo Coffee, as both"
"Michel's Patisserie","Gloria Jean's Coff","The Coffee Club. Both café","San Churro. Both","San Churro. Both","The Coffee Club. Both offer","Gloria Jean's Coff","Muffin Break. Both","Merlo Coffee. Both are"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The Coffee Club is similar to","The cafe chain Zarraffa"
"
The cafe chain Gloria Jean","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe,","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that they both","The Coffee Club in that they","Café Coffee Day in","Olive Garden in that they","Godiva Chocolatier","Dunkin' Donuts","Gloria Jean's Coff","Caffè Nero in that","Second Cup in that they both"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe,","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The Coffee Club in terms of","The Coffee Club, as both","Michel's Patisserie","Oliver Brown, given that","San Churro, as","Donut King in the sense","Gloria Jean's Coff","Shingle Inn, as","Muffin Break, as"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","Kurtosh is similar to","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Starbucks in that they both","Hudsons Coffee is similar","Jamaica Blue, an","The Coffee Club or Gloria Jean","Max Brenner is similar to","McCafé, which is","The Coffee Club or Gloria Jean","The Coffee Club in Australia is","Zarraffa's Coffee in"
"Gloria Jean's Coff","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","Gloria Jean's Coff","The cafe chain Zarraffa"
"Starbucks, in that both","The Coffee Club in that they","The Coffee Club, as they","Since Kurtosh is a cafe","San Churro, as","Starbucks in terms of being","Gloria Jean's Coff","Gloria Jean's Coff","Gloria Jean's Coff"
