"Gloria Jean's Coffees","Hudsons Coffee","Jamaica Blue","Kurtosh","Max Brenner","McCafe","Starbucks","The Coffee Club","Zarraffa's Coffee"
"Michel's Patisserie","Cafe2U. Both","The Coffee Emporium.","Oliver Brown. Both cafes","San Churro. Both","Gloria Jean's Coff","Dôme. Both cafe chains","Caffe Nero. Both cafe","The Coffee Club. Both cafe"
"Jamaica Blue.","Coffee Bean & Tea Leaf.","Michel's Patisserie","Oliver Brown.","San Churro.","Gloria Jean's in","The Coffee Club.","Starbucks.","The Coffee Emporium."
"Michel's Patisserie","Degani. Both chains","Muffin Break. Both","Oliver Brown. Both chains","San Churro. Both","Starbucks. Both chains are","The Coffee Emporium.","Gloria Jean's Coff","Dôme Café. Both chains"
"The Coffee Emporium in","Michel's Patisserie","Gloria Jean's in","Le Bon Choix in terms","San Churro","Breadtop in terms","The Coffee Club in terms of","Zarraffa's Coffee in","The Coffee Emporium in"
"Zarraffa's Coffee.","Michel's Patisserie","Gloria Jean's Coff","Oliver Brown.","San Churro.","Brewsters Coffee.","The Coffee Emporium.","Zarraffa's Coffee.","Gloria Jean's Coff"
"Coffee Club in terms of","Gloria Jean's Coff","Muffin Break in terms","Le Bon Choix in terms","San Churro in terms","McDonald's in terms of","Zarraffa's Coffee in","Gloria Jean's Coff","Starbucks in terms of its"
"Coffee Bean & Tea Leaf.","Starbucks.","Caffe Bene.","Oliver Brown.","San Churro.","Tim Hortons.","McCafé.","Gloria Jean's Coff","Michel's Patisserie"
"The Coffee Bean and Tea Leaf","Michel's Patisserie","Gloria Jean's in","La Madeline in terms","San Churro in terms","The cafe chain Starbucks in terms","Republica Coffee Roasters in","Dôme Café in terms ","Gloria Jean's Coff"
"Starbucks. Both chains are","Michel's Patisserie","Zarraffa's Coffee.","Doughnut Time. Both","San Churro. Both","Muffin Break. Both","Gloria Jean's Coff","Cafe 63. Both","The Coffee Club. Both chains"
"Starbucks.","Coffee Club.","The Coffee Bean & Tea Leaf","Le Pain Quotidien","San Churro Café.","Dunkin' Donuts","Tim Hortons.","Cafe Nero.","Caffe Bene."
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The Coffee Club.","Michel's Patisserie","Gloria Jean's Coff","Baker's Delight.","San Churro.","Coffee Hit.","Merlo Coffee.","Zarraffa's Coffee.","Gloria Jean's Coff"
"The Coffee Club.","McCafe.","Cocoberry.","Degani's. Both Kurt","San Churro.","Hudsons Coffee.","Gloria Jean's.","Gloria Jean's.","Michel's Patisserie"
"The Coffee Club.","Gloria Jean's Coff","Muffin Break.","The coffee chain Doughnut Time","San Churro.","The cafe chain Starbucks.","Coffee Bean & Tea Leaf.","Michel's Patisserie","Bean Alliance."
"The Coffee Emporium.","in Australia called The Coffee Club","Zarraffa's Coffee.","in Australia called Caffe Cherry","in Australia called San Chur","in Australia called Gloria Jean's","Gloria Jean's Coff","Gloria Jean's.","Merlo Coffee."
"Coffee Culture.","Michel's Patisserie","Muffin Break.","Krispy Kreme.","San Churro.","Starbucks. Both McCafe","The Coffee Bean & Tea Leaf","Dôme Café.","Gloria Jean's Coff"
"Zarraffa's Coffee","Michel's Patisserie","Degani","Oliver Brown","San Churro","Muffin Break","Dome","Gloria Jean's Coff","Gloria Jean's Coff"
"The Coffee Club.","Dome Café.","The cafe chain Hudsons Coffee","Miss Maud.","San Churro.","Muffin Break.","The cafe chain McCafé","Michel's Patisserie","Gloria Jean's Coff"
"The Coffee Club.","Caffe Nero.","Michel's Patisserie","Oliver Brown.","San Churro.","Muffin Break.","Gloria Jean’s Coff","Zarraffa's Coffee.","Cascara Coffee."
"The Coffee Club.","Coffee Hit.","Muffin Break.","The Cheesecake Shop.","San Churro.","Starbucks.","Caffe Nero.","Michel's Patisserie","Gloria Jean's Coff"
"Starbucks","Bean There Done That","Muffin Break","Ferguson Plarre Bake","San Churro","Caffe Nero","The Coffee Bean & Tea Leaf","Gloria Jean's Coff","Michel's Patisserie"
"The cafe chain Gloria Jean's","Gloria Jean's Coff","The cafe chain Jamaica Blue is","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is known","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue","Kurtosh is similar to","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Starbucks is similar","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Coffee Hit.","Coffee Club.","Muffin Break.","Michel's Patisserie","San Churro.","Grinders Coffee.","Gloria Jean's in","Café 63","Merlo Coffee."
"Coffee Club in that","Coffee Hit","Michel's Patisserie","Bakers Delight in that","San Churro in that","Gloria Jean's Coff","The Coffee Bean & Tea Leaf","Dôme Café","The House of Robert Timms"
"Starbucks. Both","Coffee Club. Both","Michel's Patisserie","Oliver Brown. Both","San Churro. Both","Brewsters Coffee. Both","Gloria Jean's Coff","Hudsons Coffee. Both","The Grind Coffee Co."
"Starbucks.","The Coffee Club.","Muffin Break.","Oliver Brown.","San Churro.","Starbucks.","Gloria Jean's Coff","Hudsons Coffee.","Gloria Jean's Coff"
"The cafe chain Gloria Jean's","The cafe chain Hudsons Coffee","The cafe chain Jamaica Blue","The cafe chain Kurtosh is","The cafe chain Max Brenner","The cafe chain McCafe is","The cafe chain Gloria Jean's","The cafe chain The Coffee Club","The cafe chain Zarraffa"
"Coffee Emporium. Both","Grinders Coffee. Both cafe","Michel's Patisserie","Brunetti. Both cafe chains","San Churro. Both","Muffin Break. Both","Gloria Jean's Coff","Coffee Hit. Both cafe chains","Gloria Jean's Coff"
"Michel's Patisserie","Coffee Club.","Gloria Jean's Coff","Oliver Brown.","San Churro.","Starbucks.","Coffee Bean & Tea Leaf.","Zarraffa's Coffee.","Dôme Cafe."
"Coffee Culture","Gloria Jean's Coff","Degani","Oliver Brown","San Churro","Cafe2U","The Coffee Club","Michel's Patisserie","Coffee Hit"
"Michel's Patisserie","Gloria Jean's Coff","Muffin Break","Le Bon Choix","San Churro","Starbucks","Dôme Café","Jamaica Blue","The Coffee Club"
"Zarraffa's Coffee.","Michel's Patisserie","The Coffee Club.","Oliver Brown.","San Churro.","Starbucks.","McCafe.","Jamaica Blue.","Gloria Jean's Coff"
"Zarraffa's Coffee.","Starbucks. Both Hudsons","The cafe chain The Coffee Club","Oliver Brown. Both Kurt","San Churro. Both","The cafe chain McCafe is","Hudsons Coffee.","Gloria Jean's Coff","Gloria Jean's Coff"
"Coffee Club. Both are popular","Michel's Patisserie","Muffin Break. Both","Oliver Brown. Both have","San Churro. Both","Muffin Break. Both","Gloria Jean's Coff","Dôme Café. Both have","The Coffee Emporium."
"Michel's Patisserie","Coffee Club","Gloria Jean's in","Oliver Brown in","San Churro","Brewbakers in","The Coffee Club in","Zambrero","Caffe Republic in"
"Hudsons Coffee. Both","Gloria Jean's Coff","The Coffee Club. Both Jamaica","Le Bon Choix. Both","San Churro. Both","The coffee chain Muffin","Gloria Jean's Coff","Michel's Patisserie","Coffee Club. Both Zarra"
"Coffee Hit","Grinders Coffee House","Michel's Patisserie","Pablo & Rusty's","San Churro","Bakers Delight Café","Gloria Jean's Coff","Caffe Nero","Dôme Café"
